id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	BlShortcutTest2	1	51	10	20.00	8	60.00	40.00	1	2.00	4	0:00:04
2	BlShortcutTest3	1	51	10	20.00	8	60.00	40.00	1	2.00	4	0:00:04
3	BlShortcutTest4	1	51	10	20.00	8	60.00	40.00	1	2.00	4	0:00:04
4	BlShortcutTest999	1	51	10	20.00	8	60.00	40.00	1	2.00	4	0:00:02
5	BlShortcutTest	NA	51	10	20.00	8	20.00	0.00	1	0.00	0	0:00:21
6	BlCompulsoryCombinationTest2	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:34
7	BlCompulsoryCombinationTest3	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:33
8	BlCompulsoryCombinationTest4	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:36
9	BlCompulsoryCombinationTest10	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:32
10	BlCompulsoryCombinationTest11	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:30
11	BlCompulsoryCombinationTest12	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:32
12	BlCompulsoryCombinationTest13	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:34
13	BlCompulsoryCombinationTest14	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:34
14	BlCompulsoryCombinationTest15	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:33
15	BlCompulsoryCombinationTest16	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:33
16	BlCompulsoryCombinationTest17	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:37
17	BlCompulsoryCombinationTest18	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:34
18	BlCompulsoryCombinationTest19	4	62	34	11.76	30	17.65	5.88	1	0.50	2	0:00:31
19	BlCompulsoryCombinationTest999	4	62	34	11.76	30	11.76	0.00	0	0.00	0	0:00:23
20	BlCompulsoryCombinationTest	NA	62	34	11.76	30	20.59	8.82	2	0.75	3	0:03:02
21	BlLayoutExactResizerTest2	8	80	37	40.54	22	48.65	8.11	3	0.20	3	0:01:08
22	BlLayoutExactResizerTest3	8	80	37	40.54	22	48.65	8.11	3	0.20	3	0:01:07
23	BlLayoutExactResizerTest4	8	80	37	40.54	22	48.65	8.11	3	0.20	3	0:01:06
24	BlLayoutExactResizerTest999	8	80	37	40.54	22	45.95	5.41	2	0.13	2	0:00:54
25	BlLayoutExactResizerTest	NA	80	37	40.54	22	40.54	0.00	3	0.00	0	0:04:45
26	BlCornerRadiiTest	NA	83	44	29.55	31	34.09	4.55	2	0.15	2	0:02:50
27	BlInsetsTest2	10	279	145	44.14	81	77.93	33.79	14	0.77	49	0:03:10
28	BlInsetsTest3	10	279	145	44.14	81	75.86	31.72	18	0.72	46	0:03:08
29	BlInsetsTest4	10	279	145	44.14	81	78.62	34.48	18	0.78	50	0:03:13
30	BlInsetsTest999	10	279	145	44.14	81	78.62	34.48	19	0.78	50	0:02:01
31	BlInsetsTest	NA	279	145	44.14	81	81.38	37.24	26	0.84	54	0:21:57
32	BlLocalImageCacheTest	NA	252	99	35.35	64	100.00	64.65	7	1.83	64	0:36:12
