id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	DSSendUserTextMessageItemTest2	5	40	12	33.33	8	58.33	25.00	2	0.75	3	0:00:34
2	DSSendUserTextMessageItemTest3	5	40	12	33.33	8	58.33	25.00	2	0.75	3	0:00:36
3	DSSendUserTextMessageItemTest4	5	40	12	33.33	8	58.33	25.00	2	0.75	3	0:00:34
4	DSDetectChannelCommandTest2	5	28	6	50.00	3	50.00	0.00	0	0.00	0	0:00:40
5	DSDetectChannelCommandTest3	5	28	6	50.00	3	50.00	0.00	0	0.00	0	0:00:41
6	DSDetectChannelCommandTest4	5	28	6	50.00	3	50.00	0.00	0	0.00	0	0:00:39
7	DSEmbedTest2	11	188	61	19.67	49	52.46	32.79	7	1.67	20	0:01:58
8	DSEmbedTest3	11	188	61	19.67	49	52.46	32.79	7	1.67	20	0:02:02
9	DSEmbedTest4	11	188	61	19.67	49	52.46	32.79	8	1.67	20	0:02:16
10	DSUserTest2	14	100	23	56.52	10	73.91	17.39	1	0.31	4	0:13:53
11	DSUserTest3	14	100	23	56.52	10	73.91	17.39	1	0.31	4	0:17:13
12	DSUserTest4	14	100	23	56.52	10	73.91	17.39	1	0.31	4	0:14:45
