id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	RSAthensRendererTest2	1	558	486	9.88	438	10.08	0.21	1	0.02	1	0:01:08
2	RSAthensRendererTest3	1	558	486	9.88	438	10.08	0.21	1	0.02	1	0:01:10
3	RSAthensRendererTest4	1	558	486	9.88	438	10.08	0.21	1	0.02	1	0:01:15
4	RSUMLClassBuilderTest2	2	19	2	50.00	1	100.00	50.00	1	1.00	1	0:05:00
5	RSUMLClassBuilderTest3	2	19	2	50.00	1	100.00	50.00	1	1.00	1	0:05:34
6	RSUMLClassBuilderTest4	2	19	2	50.00	1	100.00	50.00	1	1.00	1	0:05:23
7	RSDraggableCanvasTest2	6	84	28	35.71	18	35.71	0.00	0	0.00	0	0:00:34
8	RSDraggableCanvasTest3	6	84	28	35.71	18	35.71	0.00	0	0.00	0	0:00:35
9	RSDraggableCanvasTest4	6	84	28	35.71	18	35.71	0.00	0	0.00	0	0:00:36
10	RSLabelGeneratorTest2	2	161	210	82.38	37	82.38	0.00	0	0.00	0	0:11:19
11	RSLabelGeneratorTest3	2	161	210	82.38	37	82.38	0.00	0	0.00	0	0:11:07
12	RSLabelGeneratorTest4	2	161	210	82.38	37	82.38	0.00	0	0.00	0	0:12:21
