id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	WACookieOnlySessionTrackingStrategyTest	13	14	6	0.00	6	0.00	0.00	0	-	0	0:04:21
2	WAIPSessionTrackingStrategyTest	6	6	2	50.00	1	50.00	0.00	0	0.00	0	0:00:45
3	WAKeyGeneratorTest2	1	40	3	33.33	2	33.33	0.00	0	0.00	0	0:00:12
4	WAKeyGeneratorTest3	1	40	3	33.33	2	33.33	0.00	0	0.00	0	0:00:09
5	WAKeyGeneratorTest4	1	40	3	33.33	2	33.33	0.00	0	0.00	0	0:00:09
6	WAKeyGeneratorTest999	1	40	3	33.33	2	33.33	0.00	0	0.00	0	0:00:10
7	WAKeyGeneratorTest	1	40	3	66.67	1	66.67	0.00	0	0.00	0	0:00:41
8	WAXmlCanvasTest2	1	25	3	33.33	2	33.33	0.00	0	0.00	0	0:00:00
9	WAXmlCanvasTest3	1	25	3	33.33	2	33.33	0.00	0	0.00	0	0:00:00
10	WAXmlCanvasTest4	1	25	3	33.33	2	33.33	0.00	0	0.00	0	0:00:01
11	WAXmlCanvasTest999	1	25	3	33.33	2	33.33	0.00	0	0.00	0	0:00:01
12	WARequestContextTest	1	170	73	12.33	64	38.36	26.03	4	2.11	19	0:04:34
13	WACookieIfSupportedSessionTrackingStrategyTest	14	24	15	0.00	15	0.00	0.00	0	-	0	0:00:19
14	WAEnterpriseAuberginesStrategyTest	14	28	21	23.81	16	23.81	0.00	0	0.00	0	0:00:00
15	WAUnidirectionalCacheTest	5	31	5	80.00	1	100.00	20.00	1	0.25	1	0:01:23
16	WARenderContextTest	2	79	30	53.33	14	53.33	0.00	0	0.00	0	0:00:00
17	WAErrorHandlerTest2	11	18	13	38.46	8	38.46	0.00	0	0.00	0	0:01:15
18	WAErrorHandlerTest3	11	18	13	38.46	8	38.46	0.00	0	0.00	0	0:01:13
19	WAErrorHandlerTest4	11	18	13	38.46	8	38.46	0.00	0	0.00	0	0:01:17
20	WAErrorHandlerTest999	11	18	13	38.46	8	38.46	0.00	0	0.00	0	0:01:19
21	WAErrorHandlerTest	11	18	13	38.46	8	38.46	0.00	0	0.00	0	0:05:08
22	WACookieForBrowserIPForCrawlerTrackingStrategyTest	2	32	16	43.75	9	43.75	0.00	0	0.00	0	0:00:19
23	WAMimeDocumentTest	6	51	32	18.75	26	25.00	6.25	2	0.33	2	0:15:22
24	WABlockMimeDocumentTest	6	19	8	75.00	2	75.00	0.00	2	0.00	0	0:00:00
25	WADispatcherTest	14	81	30	36.67	19	46.67	10.00	10	0.27	3	0:24:05
26	WAFormTagTest	5	39	24	91.67	2	95.83	4.17	0	0.05	1	0:00:55
27	WAServerManagerTest	3	74	42	54.76	19	54.76	0.00	0	0.00	0	0:14:20
28	WAPharoEncoderTest	14	74	67	73.13	18	79.10	5.97	3	0.08	4	0:03:48
29	WAFileHandlerTest	16	62	26	65.38	9	73.08	7.69	9	0.12	2	0:05:57
30	WALocaleTest	7	153	37	78.38	8	78.38	0.00	0	0.00	0	0:01:49
31	WAHeaderFieldsTest	35	10	18	83.33	3	94.44	11.11	2	0.13	2	0:09:46
32	WAApplicationTest	14	108	27	11.11	24	40.74	29.63	14	2.67	8	0:01:45
33	WABidirectionalCacheTest	9	63	20	60.00	8	65.00	5.00	2	0.08	1	0:01:10
34	WAStreamedResponseTest	34	54	22	86.36	3	86.36	0.00	2	0.00	0	0:00:16
35	JSStreamTest	18	189	24	50.00	12	50.00	0.00	0	0.00	0	0:01:57
36	WARequestTest	8	212	104	44.23	58	70.19	25.96	3	0.59	27	0:18:25
37	WAHtmlAttributesTest	8	40	19	94.74	1	100.00	5.26	1	0.06	1	0:03:19
38	WAMutexTest	6	23	9	88.89	1	100.00	11.11	0	0.12	1	6:56:55
39	WABulkReapingCacheTest	10	89	56	76.79	13	78.57	1.79	3	0.02	1	61:29:40
40	WAAnchorTagTest	8	78	12	66.67	4	66.67	0.00	0	0.00	0	0:42:39
41	WAMimeTypeTest	12	223	127	77.17	29	77.17	0.00	0	0.00	0	52:02:53
42	WAHttpVersionTest	14	73	87	86.21	12	86.21	0.00	0	0.00	0	50:51:14
43	JQEffectTest	6	156	32	87.50	4	87.50	0.00	0	0.00	0	0:48:56
44	JQueryClassTest	30	113	37	78.38	8	78.38	0.00	0	0.00	0	4:34:28
45	WAMergedRequestFieldsTest	16	56	31	96.77	1	96.77	0.00	0	0.00	0	13:42:41
46	WAFileMetadataLibraryTest	13	180	41	46.34	22	46.34	0.00	0	0.00	0	4:48:55
47	JSDecorationTest	23	10	3	33.33	2	33.33	0.00	0	0.00	0	1:35:46
48	WAFileLibraryTest	17	123	33	57.58	14	57.58	0.00	0	0.00	0	3:08:27
49	WACookieTest2	16	168	66	50.00	33	56.06	6.06	1	0.12	4	0:02:33
50	WACookieTest3	16	168	66	50.00	33	56.06	6.06	2	0.12	4	0:02:39
51	WACookieTest4	16	168	66	50.00	33	56.06	6.06	2	0.12	4	0:02:30
52	WACookieTest999	16	168	66	50.00	33	56.06	6.06	1	0.12	4	0:01:45
53	WACookieTest	16	168	66	50.00	33	50.00	0.00	0	0.00	0	3:25:18
54	JQAjaxTest	50	240	80	60.00	32	60.00	0.00	0	0.00	0	10:43:33
55	WAComponentTest	15	238	82	51.22	40	51.22	0.00	0	0.00	0	4:00:19
56	WAUrlTest	56	758	757	77.81	168	78.20	0.40	1	0.01	3	271:33:34
