id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	TLDistributionMapTest	1	96	27	37.04	17	48.15	11.11	2	0.30	3	0:00:26
2	TLLegendTest	2	62	4	0.00	4	0.00	0.00	0	-	0	0:00:02
3	TLGradientTest	1	38	32	75.00	8	75.00	0.00	0	0.00	0	0:00:26
4	TLObjectTest	5	8	9	77.78	2	77.78	0.00	0	0.00	0	0:00:10
5	TLStyleSheetTest	8	214	50	20.00	40	20.00	0.00	0	0.00	0	0:00:50
6	TLHideActionTest	3	33	9	55.56	4	88.89	33.33	2	0.60	3	0:00:30
7	TLExpandCollapseNodesActionTest	3	81	21	66.67	7	76.19	9.52	2	0.14	2	0:01:02
8	TLNodeCreationStrategyTest	5	91	36	66.67	12	77.78	11.11	3	0.17	4	0:15:28
9	TLSimpleNodeTest	7	30	7	14.29	6	85.71	71.43	3	5.00	5	0:05:00
10	TLCompositeNodeTest	5	148	65	24.62	49	47.69	23.08	4	0.94	15	0:02:48
11	TLLinearLayoutTest	4	119	29	20.69	23	31.03	10.34	3	0.50	3	0:01:24
12	TLTreeLayoutTest	7	111	33	54.55	15	54.55	0.00	0	0.00	0	0:00:57
