id,class,# org.tmethod,% mut.score,# new.tmethod,PR.candidates,# killed.origial,# killed.amplified,% inc.killed,# killed.aamp,% inc.killed.aamp,time,project,High/Low
1,DataFrameJsonWriterTest2,4,50.00,1,?,6,8,33.00,7,16.67,0:00:11,DataFrame,H
2,DataFrameJsonWriterTest3,4,50.00,1,?,6,8,33.00,7,16.67,0:00:11,DataFrame,H
3,DataFrameJsonWriterTest4,4,50.00,1,?,6,8,33.00,7,16.67,0:00:11,DataFrame,H
4,DataFrameCsvReaderTest2,4,85.00,0,?,17,17,0.00,17,0.00,0:00:08,DataFrame,H
5,DataFrameCsvReaderTest3,4,85.00,0,?,17,17,0.00,17,0.00,0:00:07,DataFrame,H
6,DataFrameCsvReaderTest4,4,85.00,0,?,17,17,0.00,17,0.00,0:00:07,DataFrame,H
7,DataFrameJsonReaderTest2,9,72.73,2,?,16,20,25.00,19,18.75,0:08:43,DataFrame,H
8,DataFrameJsonReaderTest3,9,72.73,2,?,16,20,25.00,19,18.75,0:08:57,DataFrame,H
9,DataFrameJsonReaderTest4,9,72.73,2,?,16,20,25.00,19,18.75,0:09:11,DataFrame,H
10,DataFrameTypeDetectorTest2,15,94.12,0,?,64,64,0.00,64,0.00,0:02:02,DataFrame,H
11,DataFrameTypeDetectorTest3,15,94.12,0,?,64,64,0.00,64,0.00,0:02:06,DataFrame,H
12,DataFrameTypeDetectorTest4,15,94.12,0,?,64,64,0.00,64,0.00,0:02:06,DataFrame,H
13,ZnMessageBenchmarkTest2,2,80.00,0,?,24,24,0.00,24,0.00,0:01:23,zinc,H
14,ZnMessageBenchmarkTest3,2,80.00,0,?,24,24,0.00,24,0.00,0:01:21,zinc,H
15,ZnMessageBenchmarkTest4,2,80.00,0,?,24,24,0.00,24,0.00,0:01:24,zinc,H
16,ZnEasyTest2,10,66.67,0,?,10,10,0.00,10,0.00,0:46:25,zinc,H
17,ZnEasyTest3,10,66.67,0,?,10,10,0.00,10,0.00,0:44:20,zinc,H
18,ZnEasyTest4,10,66.67,0,?,10,10,0.00,10,0.00,0:46:35,zinc,H
19,GQLRequestGrammarTest2,29,96.55,0,?,56,56,0.00,56,0.00,0:04:07,GraphQL,H
20,GQLRequestGrammarTest3,29,96.55,0,?,56,56,0.00,56,0.00,0:04:09,GraphQL,H
21,GQLRequestGrammarTest4,29,96.55,0,?,56,56,0.00,56,0.00,0:04:02,GraphQL,H
22,GQLSingleAnonimousQueryEvaluatorTest2,22,52.27,2,?,23,25,9.00,23,0.00,0:05:21,GraphQL,H
23,GQLSingleAnonimousQueryEvaluatorTest3,22,52.27,2,?,23,25,9.00,23,0.00,0:05:26,GraphQL,H
24,GQLSingleAnonimousQueryEvaluatorTest4,22,52.27,2,?,23,25,9.00,23,0.00,0:05:15,GraphQL,H
25,GQLSchemaGrammarTest2,57,93.20,7,?,96,103,7.00,96,0.00,2:16:15,GraphQL,H
26,GQLSchemaGrammarTest3,57,93.20,7,?,96,103,7.00,96,0.00,2:22:55,GraphQL,H
27,GQLSchemaGrammarTest4,57,93.20,7,?,96,103,7.00,96,0.00,2:34:02,GraphQL,H
28,WebGrammarTest2,14,90.00,2,?,18,20,11.00,18,0.00,0:46:51,petitparser2,H
29,WebGrammarTest3,14,90.00,2,?,18,20,11.00,18,0.00,0:43:21,petitparser2,H
30,WebGrammarTest4,14,90.00,2,?,18,20,11.00,18,0.00,0:42:40,petitparser2,H
31,PP2BufferStreamTest2,16,83.87,0,?,78,78,0.00,78,0.00,0:00:34,petitparser2,H
32,PP2BufferStreamTest3,16,83.87,0,?,78,78,0.00,78,0.00,0:00:35,petitparser2,H
33,PP2BufferStreamTest4,16,83.87,0,?,78,78,0.00,78,0.00,0:00:36,petitparser2,H
