id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	OPNullSerializerTest2	3	8	2	50.00	1	50.00	0.00	0	0.00	0	0:00:00
2	OPNullSerializerTest3	3	8	2	50.00	1	50.00	0.00	0	0.00	0	0:00:00
3	OPNullSerializerTest4	3	8	2	50.00	1	50.00	0.00	0	0.00	0	0:00:00
4	OPNavigatorAdaptersTest2	3	51	25	24.00	19	24.00	0.00	0	0.00	0	0:00:26
5	OPNavigatorAdaptersTest3	3	51	25	24.00	19	24.00	0.00	0	0.00	0	0:00:24
6	OPNavigatorAdaptersTest4	3	51	25	24.00	19	24.00	0.00	0	0.00	0	0:00:23
7	OPRTElementsConstraintTest2	2	62	2	50.00	1	100.00	50.00	1	1.00	1	0:00:03
8	OPRTElementsConstraintTest3	2	62	2	50.00	1	100.00	50.00	1	1.00	1	0:00:03
9	OPRTElementsConstraintTest4	2	62	2	50.00	1	100.00	50.00	1	1.00	1	0:00:03
10	OPProjectTest2	2	111	25	28.00	18	28.00	0.00	0	0.00	0	0:00:03
11	OPProjectTest3	2	111	25	28.00	18	28.00	0.00	0	0.00	0	0:00:03
12	OPProjectTest4	2	111	25	28.00	18	28.00	0.00	0	0.00	0	0:00:03
