id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	PP2ExpressionParserTest	6	2	1	0.00	1	100.00	100.00	1	-	1	0:00:45
2	PP2ExpressionGrammarTest	6	22	14	85.71	2	100.00	14.29	2	0.17	2	0:06:15
3	PP2PEGParserParserTest	13	133	51	96.08	2	96.08	0.00	0	0.00	0	0:21:28
4	PP2StreamTest	6	48	15	73.33	4	86.67	13.33	1	0.18	2	0:00:07
5	PP2NextSetsContextTest	4	19	27	51.85	13	51.85	0.00	0	0.00	0	0:00:22
6	PP2ParsingGuardTest	3	25	17	47.06	9	58.82	11.76	1	0.25	2	0:00:08
7	PP2BufferStreamValidatorTest	4	31	9	66.67	3	88.89	22.22	1	0.33	2	0:02:12
8	PP2PackratVisitorTest	5	11	7	57.14	3	57.14	0.00	0	0.00	0	0:00:10
9	PP2ContextTest	22	160	79	67.09	26	70.89	3.80	2	0.06	3	0:04:57
10	PP2NoopVisitorTest	4	74	25	68.00	8	84.00	16.00	1	0.24	4	0:00:31
11	PP2MSEGrammarTest	10	40	29	93.10	2	100.00	6.90	2	0.07	2	0:38:37
12	PP2DebuggingStrategyTest	5	56	23	4.35	22	13.04	8.70	1	2.00	2	0:00:24
13	PP2BypassVisitorTest	5	13	13	84.62	2	84.62	0.00	0	0.00	0	0:00:12
14	PP2ContextSensitivityVisitorTest	10	38	25	80.00	5	80.00	0.00	0	0.00	0	0:00:28
15	PP2InMemoryContextTest	23	136	64	62.50	24	68.75	6.25	1	0.10	4	0:04:43
16	PP2WebPageParserTest	13	43	6	83.33	1	100.00	16.67	1	0.20	1	0:40:57
17	PP2ContextMementoTest	5	29	26	73.08	7	84.62	11.54	2	0.16	3	0:00:41
18	PP2ContextMemoizationVisitorTest	11	76	70	30.00	49	30.00	0.00	0	0.00	0	0:00:37
19	WebGrammarTest	14	34	20	90.00	2	100.00	10.00	2	0.11	2	0:52:59
20	PP2MSEArrayParserTest	15	51	30	76.67	7	100.00	23.33	7	0.30	7	0:23:44
21	PP2ParentAnalysisVisitorTest	6	15	6	83.33	1	83.33	0.00	0	0.00	0	0:00:16
22	PP2CommonPrefixVisitorTest	5	73	59	45.76	32	45.76	0.00	0	0.00	0	0:00:36
23	PP2RecordingContextTest	26	194	69	18.84	56	60.87	42.03	9	2.23	29	0:17:33
24	PP2TransformVisitorTest	4	37	13	76.92	3	76.92	0.00	0	0.00	0	0:00:05
25	PP2RecognizerVisitorTest	9	57	11	72.73	3	72.73	0.00	0	0.00	0	0:00:26
26	WebParserTest	11	65	8	87.50	1	100.00	12.50	1	0.14	1	0:18:36
27	PP2SeaOptimizationVisitorTest	10	78	72	61.11	28	68.06	6.94	0	0.11	5	0:00:58
28	PP2BufferStreamTest	16	113	93	83.87	15	83.87	0.00	0	0.00	0	0:00:31
29	PP2SeaNodeTest	6	70	28	17.86	23	64.29	46.43	6	2.60	13	0:38:11
30	PP2WebPageGrammarTest	20	50	32	93.75	2	100.00	6.25	2	0.07	2	2:39:38
31	PP2BenchmarkTest	3	271	44	15.91	37	29.55	13.64	1	0.86	6	0:15:50
32	PP2GuardVisitorTest	12	127	84	60.71	33	66.67	5.95	1	0.10	5	0:02:01
33	PP2SpecializingVisitorTest	20	149	185	76.76	43	78.92	2.16	0	0.03	4	0:02:28
34	PP2IsNullableVisitorTest	35	113	41	60.98	16	60.98	0.00	0	0.00	0	0:02:22
35	PP2ContextChangesVisitorTest	30	189	114	63.16	42	70.18	7.02	0	0.11	8	0:02:30
36	PP2JsonParserTest	25	33	21	95.24	1	100.00	4.76	1	0.05	1	0:31:26
37	PP2NextSetsVisitorTest	18	113	16	43.75	9	81.25	37.50	5	0.86	6	0:01:25
38	PP2FirstSetVisitorTest	45	231	172	63.37	63	69.77	6.40	0	0.10	11	0:04:08
