id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	PhLAboutCommandTest2	1	36	4	75.00	1	75.00	0.00	0	0.00	0	0:00:01
2	PhLAboutCommandTest3	1	36	4	75.00	1	75.00	0.00	0	0.00	0	0:00:01
3	PhLAboutCommandTest4	1	36	4	75.00	1	75.00	0.00	0	0.00	0	0:00:01
4	PhLCopyImageCommandTest2	1	30	6	66.67	2	66.67	0.00	0	0.00	0	0:00:02
5	PhLCopyImageCommandTest3	1	30	6	66.67	2	66.67	0.00	0	0.00	0	0:00:02
6	PhLCopyImageCommandTest4	1	30	6	66.67	2	66.67	0.00	0	0.00	0	0:00:01
7	PhLLocalTemplateTest2	11	39	25	12.00	22	20.00	8.00	1	0.67	2	0:00:33
8	PhLLocalTemplateTest3	11	39	25	12.00	22	20.00	8.00	1	0.67	2	0:00:32
9	PhLLocalTemplateTest4	11	39	25	12.00	22	20.00	8.00	1	0.67	2	0:00:33
10	PhLDirectoryBasedImageRepositoryTest2	14	220	98	39.80	59	42.86	3.06	1	0.08	3	0:01:21
11	PhLDirectoryBasedImageRepositoryTest3	14	220	98	39.80	59	42.86	3.06	1	0.08	3	0:01:17
12	PhLDirectoryBasedImageRepositoryTest4	14	220	98	39.80	59	42.86	3.06	1	0.08	3	0:01:19
