id,class,# org.tmethod,% mut.score,# new.tmethod,PR.candidates,# killed.origial,# killed.amplified,% inc.killed,# killed.aamp,% inc.killed.aamp,time,project,High/Low
1,DataFrameJsonWriterTest,4,50,1,?,6,8,33,7,16.67,0:00:09,DataFrame,H
2,DataFrameJsonReaderTest,9,72.73,2,?,16,20,25,19,18.75,0:07:35,DataFrame,H
3,DataFrameCsvReaderTest,4,85,0,?,17,17,0,17,0,0:00:05,DataFrame,H
4,DataFrameInternalTest,32,77.31,4,?,92,99,8,95,3.26,0:06:00,DataFrame,H
5,ZnEasyTest,10,66.67,0,?,10,10,0,10,0,0:20:52,zinc,H
6,ZnNewLineWriterStreamTest,2,86.36,0,?,19,19,0,19,0,0:00:04,zinc,H
7,GQLSchemaGrammarEvaluatorTest,41,91.67,1,?,44,45,2,45,2.27,1:21:26,GraphQL,H
8,GQLSchemaGrammarTest,57,93.2,7,?,96,103,7,96,0,26:41:02,GraphQL,H
9,GQLDocumentNodeTest,114,72.15,4,?,57,61,7,58,1.75,103:23:46,GraphQL,H
10,PP2MSEGrammarTest,10,93.1,2,?,27,29,7,27,0,0:38:37,petitparser2,H
11,PP2ContextChangesVisitorTest,30,63.16,0,?,72,80,11,72,0,0:02:30,petitparser2,H
12,MDLPaginationComponentTest,11,71.19,2,?,42,46,10,42,0,0:02:56,MaterialDesignLite,H
13,MDLButtonColumnDescriptionTest,3,75,1,?,3,4,33,4,33.33,0:00:12,MaterialDesignLite,H
14,RSSequentialAnimationTest,6,65.38,2,?,17,17,0,18,5.88,0:02:00,Roassal3,H
15,RSLabelGeneratorTest,2,82.38,0,?,173,173,0,173,0,0:59:54,Roassal3,H
16,OPRTEdgeHighlighterTest,4,58.82,0,?,10,10,0,10,0,0:00:15,openponk,H
17,OPRTStyledConnectionTest,4,61.29,1,?,19,20,5,19,0,0:14:10,openponk,H
18,PMClusterFinderTest,3,79.31,2,?,23,25,9,25,8.7,0:07:32,PolyMath,H
19,PMRungeKuttaStepperTest,6,96,0,?,24,24,0,24,0,0:03:08,PolyMath,H
20,TLNodeCreationStrategyTest,5,66.67,3,?,24,28,17,26,8.33,0:15:28,Telescope,H
21,TLHideActionTest,3,55.56,2,?,5,8,60,5,0,0:00:30,Telescope,H
22,DSDetectChannelCommandTest,5,50,1,?,3,3,0,4,33.33,0:12:34,DiscordSt,H
23,DSSessionTest,10,84.62,0,?,11,11,0,11,0,12:42:42,DiscordSt,H
24,PhLCopyImageCommandTest,1,66.67,0,?,4,4,0,4,0,0:24:17,pharo-launcher,H
25,PhLAboutCommandTest,1,75,1,?,3,4,33,3,0,0:00:54,pharo-launcher,H
26,WAFileLibraryTest,17,57.58,0,?,19,19,0,19,0,0:03:03,Seaside,H
27,JQEffectTest,6,87.5,0,?,28,28,0,28,0,0:16:03,Seaside,H
28,BlShortcutTest,1,20,1,?,2,2,0,3,50,0:00:21,Bloc,L
29,BlInsetsTest,10,44.14,26,?,64,118,84,91,42.19,0:21:57,Bloc,L
30,BlCornerRadiiTest,8,29.55,2,?,13,15,15,13,0,0:02:50,Bloc,L
31,BlCompulsoryCombinationTest,4,11.76,2,?,4,7,75,4,0,0:03:02,Bloc,L
32,ZnStatusLineTest,7,28.57,1,?,16,20,25,16,0,0:00:39,zinc,L
33,ZnBivalentWriteStreamTest,2,44.44,0,?,8,8,0,8,0,0:00:03,zinc,L
34,GQLArgumentsTest,16,47.06,0,?,8,8,0,8,0,3:33:18,GraphQL,L
35,PP2ParsingGuardTest,3,47.06,1,?,8,10,25,9,12.5,0:00:08,petitparser2,L
36,PP2SeaNodeTest,6,17.86,6,?,5,18,260,6,20,0:38:11,petitparser2,L
37,MDLDialogTest,4,14.29,0,?,1,1,0,1,0,0:00:04,MaterialDesignLite,L
38,MDLNestedListTest,11,44.78,1,?,60,75,25,61,1.67,0:02:20,MaterialDesignLite,L
39,RSSearchInCanvasTest,6,42.22,6,?,19,25,32,24,26.32,3:46:55,Roassal3,L
40,RSHighlightableTest,1,24.14,0,?,7,7,0,7,0,0:00:11,Roassal3,L
41,OPDynamicFormMagritteVisitorTest,1,0,2,?,0,2,-,0,-,0:00:11,openponk,L
42,OPProjectTest,2,28,5,?,7,16,129,11,57.14,0:15:23,openponk,L
43,PMTSNETest,6,47.24,3,?,77,89,16,79,2.6,2:27:40,PolyMath,L
44,PMMatrixTest,55,40.86,28,?,123,235,91,125,1.63,1:57:46,PolyMath,L
45,TLStyleSheetTest,8,20,0,?,10,10,0,10,0,0:00:50,Telescope,L
46,TLSimpleNodeTest,7,14.29,3,?,1,6,500,3,200,0:05:00,Telescope,L
47,DSWebhookDataPostTest,10,0,2,?,0,2,-,2,-,0:01:05,DiscordSt,L
48,DSSendRegistriesItemTest,3,12.5,1,?,1,4,300,2,100,2:05:44,DiscordSt,L
49,PhLImageCreationPresenterTest,1,32.35,1,?,11,15,36,12,9.09,0:06:54,pharo-launcher,L
50,PhLJenkins2ServerTest,4,30,2,?,3,7,133,5,66.67,0:04:05,pharo-launcher,L
51,WAEnterpriseAuberginesStrategyTest,14,23.81,0,?,5,5,0,5,0,0:00:58,Seaside,L
52,WACookieForBrowserIPForCrawlerTrackingStrategyTest,2,43.75,0,?,7,7,0,7,0,0:00:04,Seaside,L
