id	test class	otm	tloc	tmut	oms	oam	ams	imp	atm	inck	akm	time
1	ZnMessageBenchmarkTest2	2	156	30	80.00	6	80.00	0.00	0	0.00	0	0:01:23
2	ZnMessageBenchmarkTest3	2	156	30	80.00	6	80.00	0.00	0	0.00	0	0:01:21
3	ZnMessageBenchmarkTest4	2	156	30	80.00	6	80.00	0.00	0	0.00	0	0:01:24
4	ZnBivalentWriteStreamTest2	2	51	18	44.44	10	44.44	0.00	0	0.00	0	0:00:04
5	ZnBivalentWriteStreamTest3	2	51	18	44.44	10	44.44	0.00	0	0.00	0	0:00:04
6	ZnBivalentWriteStreamTest4	2	51	18	44.44	10	44.44	0.00	0	0.00	0	0:00:04
7	ZnStatusLineTest2	7	142	56	28.57	40	30.36	1.79	1	0.06	1	0:00:41
8	ZnStatusLineTest3	7	142	56	28.57	40	30.36	1.79	1	0.06	1	0:00:43
9	ZnStatusLineTest4	7	142	56	28.57	40	30.36	1.79	1	0.06	1	0:00:44
10	ZnEasyTest2	10	182	15	66.67	5	66.67	0.00	0	0.00	0	0:46:25
11	ZnEasyTest3	10	182	15	66.67	5	66.67	0.00	0	0.00	0	0:44:20
12	ZnEasyTest4	10	182	15	66.67	5	66.67	0.00	0	0.00	0	0:46:35
